Question,Answer,Answer Type,Reasoning Type,id
"What is the last name of Hugh Cholmondeley, 1St Earl Of Cholmondeley's paternal grandmother?",Bodvile,string,Commonsense,772cba800bb011ebab90acde48001122_12
"Who is Hugh Cholmondeley, 1St Earl Of Cholmondeley's paternal grandmother?",Mary Bodvile,person,Original,772cba800bb011ebab90acde48001122_12
What is the last name of the paternal grandfather of Chiang Hsiao-Wu?,Kai-shek,string,Commonsense,7be06c080baf11ebab90acde48001122_12
Who is the paternal grandfather of Chiang Hsiao-Wu?,Chiang Kai-shek,person,Original,7be06c080baf11ebab90acde48001122_12
What is the last name of the paternal grandfather of Baha Al-Dawla?,al-Dawla,string,Commonsense,270c5b4c0baf11ebab90acde48001122_12
Who is the paternal grandfather of Baha Al-Dawla?,Rukn al-Dawla,person,Original,270c5b4c0baf11ebab90acde48001122_12
What is the last name of the spouse of the director of film Sorority House (Film)?,O'Sullivan,string,Commonsense,9e9c5b440bdc11eba7f7acde48001122_12
Who is the spouse of the director of film Sorority House (Film)?,Maureen O'Sullivan,person,Original,9e9c5b440bdc11eba7f7acde48001122_12
What is the total number of letters in the last name of Yujiulü Doulun's paternal grandfather?,8,number,"Commonsense, Arithmetic",f643bee20bae11ebab90acde48001122_17
Who is Yujiulü Doulun's paternal grandfather?,Yujiulü Tuhezhen,person,Original,f643bee20bae11ebab90acde48001122_17
What is the total number of letters in the last name of the spouse of the director of film På Solsiden?,7,number,"Commonsense, Arithmetic",1bfdd2d20bda11eba7f7acde48001122_17
Who is the spouse of the director of the film På Solsiden?,Otto Carlmar,person,Original,1bfdd2d20bda11eba7f7acde48001122_17
What is the total number of letters in the last name of Alfonso Jordan's maternal grandmother?,5,number,"Commonsense, Arithmetic",9e1457800baf11ebab90acde48001122_17
Who is Alfonso Jordan's maternal grandmother?,Jimena Muñoz,person,Original,9e1457800baf11ebab90acde48001122_17
What is the total number of letters in the last name of the child of the director of film Stella Í Orlofi?,12,number,"Commonsense, Arithmetic",4e3802420bdd11eba7f7acde48001122_17
Who is the child of the director of film Stella Í Orlofi?,Sólveig Arnarsdóttir,person,Original,4e3802420bdd11eba7f7acde48001122_17
What is the closest palindrome number to when the publisher of Eye To The Telescope (Magazine) was founded?,1991,number,"Commonsense, Arithmetic",2909f2240bdc11eba7f7acde48001122_3
What year was the publisher of Eye To The Telescope (Magazine) founded?,1978,year,Original,2909f2240bdc11eba7f7acde48001122_3
What is the closest palindrome number to when the publisher of Africa Renewal was founded?,1991,number,"Commonsense, Arithmetic",b536dc7a0bdd11eba7f7acde48001122_3
What is the closest palindrome number to when the publisher of Qst was founded?,1881,number,"Commonsense, Arithmetic",20c85b260bde11eba7f7acde48001122_3
What is the closest palindrome number to when the publisher of Hürriyet Daily News was founded?,2002,number,"Commonsense, Arithmetic",ccddfdfc0bda11eba7f7acde48001122_3
"What is the date 3 months before the date of birth of Sir Henry St John-Mildmay, 4Th Baronet's father?",1764-06-30,date,"Commonsense, Arithmetic",368e1a7c0bde11eba7f7acde48001122_3
"What is the date of birth of Sir Henry St John-Mildmay, 4Th Baronet's father?",30 September 1764,date,Original,368e1a7c0bde11eba7f7acde48001122_3
"What is the date 5 months before when Philipp, Duke Of Saxe-Merseburg-Lauchstädt's father died?",1691-05-18,date,"Commonsense, Arithmetic",56b66a2c0bdc11eba7f7acde48001122_3
"When did the father of Philipp, Duke Of Saxe-Merseburg-Lauchstädt die?",18 October 1691,date,Original,56b66a2c0bdc11eba7f7acde48001122_3
"What is the date 10 months before the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?",1867-01-03,date,"Commonsense, Arithmetic",1dc6c4e60bdc11eba7f7acde48001122_3
"What is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?","November 3, 1867",date,Original,1dc6c4e60bdc11eba7f7acde48001122_3
What is the date 4 months before when Ting-Xing Ye's husband was born?,1945-06-27,date,"Commonsense, Arithmetic",252632880bde11eba7f7acde48001122_3
When was Ting-Xing Ye's husband born?,27 October 1945,date,Original,252632880bde11eba7f7acde48001122_3
"The submission deadline is at 04 June 1973, 06:43, Anywhere on Earth (AoE). At what date and time is the deadline in the place of death of the performer of song I'Ll Come Running Back To You?",1973-06-04 11:43,datetime,"Commonsense, Arithmetic",1f9ccd180bde11eba7f7acde48001122_1
Where was the place of death of the performer of song I'Ll Come Running Back To You?,"Los Angeles, California",place,Original,1f9ccd180bde11eba7f7acde48001122_1
"The submission deadline is at 26 April 2017, 17:35, Anywhere on Earth (AoE). At what date and time is the deadline in where the performer of song Only You (Cee Lo Green Song) was born?",2017-04-27 01:35,datetime,"Commonsense, Arithmetic",7d0964160bd911eba7f7acde48001122_1
Where was the performer of song Only You (Cee Lo Green Song) born?,"Atlanta, Georgia",place,Original,7d0964160bd911eba7f7acde48001122_1
"The submission deadline is at 03 October 2025, 02:19, Anywhere on Earth (AoE). At what date and time is the deadline in where the father of Ștefan I. Nenițescu was born?",2025-10-03 17:19,datetime,"Commonsense, Arithmetic",019bed300bde11eba7f7acde48001122_1
Where was the father of Ștefan I. Nenițescu born?,Galați,place,Original,019bed300bde11eba7f7acde48001122_1
"The submission deadline is at 01 December 2018, 05:48, Anywhere on Earth (AoE). At what date and time is the deadline in the place of birth of the performer of song Strangers (Seven Lions And Myon & Shane 54 Song)?",2018-12-01 09:48,datetime,"Commonsense, Arithmetic",ee4282fe0bdc11eba7f7acde48001122_1
What is the place of birth of the performer of song Strangers (Seven Lions And Myon & Shane 54 Song)?,"Santa Barbara, California",place,Original,ee4282fe0bdc11eba7f7acde48001122_1
"What is the sum of all the digits in the day, month and year of the date of death of Raoul I Of Brienne, Count Of Eu's father?",15,number,Arithmetic,a89f2d8c0bdd11eba7f7acde48001122_6
"What is the date of death of Raoul I Of Brienne, Count Of Eu's father?",11 July 1302,date,Original,a89f2d8c0bdd11eba7f7acde48001122_6
"What is the sum of all the digits in the day, month and year of when Prince Nikolai Of Denmark's mother was born?",29,number,Arithmetic,be1e5c620bda11eba7f7acde48001122_6
"What is the sum of all the digits in the day, month and year of when Princess Feodora Of Denmark's father was born?",31,number,Arithmetic,f9a3bf6a0bdb11eba7f7acde48001122_6
"What is the sum of all the digits in the day, month and year of when Humphrey De Bohun, 2Nd Earl Of Hereford's father died?",12,number,Arithmetic,fab2aa100bdb11eba7f7acde48001122_6
"When did Humphrey De Bohun, 2Nd Earl Of Hereford's father die?",1 June 1220,date,Original,fab2aa100bdb11eba7f7acde48001122_6
What is the ASCII code of the last letter of the first name of the spouse of the director of film Fire-Eater (Film)?,111,number,"Symbolic, Commonsense",21852d1e0bde11eba7f7acde48001122_11
Who is the spouse of the director of Fire-Eater?,Pirkko Saisio,person,Original,21852d1e0bde11eba7f7acde48001122_11
What is the ASCII code of the last letter of the first name of the father of the director of film Snake In The Eagle'S Shadow?,110,number,"Symbolic, Commonsense",0dedb0de0bdc11eba7f7acde48001122_11
What is the ASCII code of the last letter of the first name of the spouse of the director of film The Invisible Menace?,110,number,"Symbolic, Commonsense",642b190c0bda11eba7f7acde48001122_11
Who is the spouse of the director of the film The Invisible Menace?,Maureen O'Sullivan,person,Original,642b190c0bda11eba7f7acde48001122_11
"What is the ASCII code of the last letter of the first name of Charles Monck, 3Rd Viscount Monck's paternal grandfather?",115,number,"Symbolic, Commonsense",eb54b8e60baf11ebab90acde48001122_11
"Who is Charles Monck, 3Rd Viscount Monck's paternal grandfather?",Thomas Monck,person,Original,eb54b8e60baf11ebab90acde48001122_11
What is the binary code of the last letter of the last name of the paternal grandfather of Ollom Fotla in lowercase?,1110100,string,"Symbolic, Commonsense",71f393820baf11ebab90acde48001122_13
Who is the paternal grandfather of Ollom Fotla?,Sétna Airt,person,Original,71f393820baf11ebab90acde48001122_13
What is the binary code of the last letter of the last name of the paternal grandfather of Kerry Earnhardt in lowercase?,1110100,string,"Symbolic, Commonsense",8762e83a0baf11ebab90acde48001122_13
Who is the paternal grandfather of Kerry Earnhardt?,Ralph Earnhardt,person,Original,8762e83a0baf11ebab90acde48001122_13
What is the binary code of the last letter of the last name of Alfonso Jordan's maternal grandmother in lowercase?,1111010,string,"Symbolic, Commonsense",9e1457800baf11ebab90acde48001122_13
What is the binary code of the last letter of the last name of the father-in-law of Ove Aunli in lowercase?,1101111,string,"Symbolic, Commonsense",e519fa3c0bae11ebab90acde48001122_13
Who is the father-in-law of Ove Aunli?,Kristen Kvello,person,Original,e519fa3c0bae11ebab90acde48001122_13
"What is the date 8 years before when Robert, Count Of Burgundy's mother died?",1321-11-27,date,"Commonsense, Arithmetic",82e0e3020bdc11eba7f7acde48001122_3
"What is the date 4 years before Maria Of Austria, Duchess Of Jülich-Cleves-Berg's husband's birthday?",1512-07-28,date,"Commonsense, Arithmetic",e9c2a7fa0bdb11eba7f7acde48001122_3
"When is Maria Of Austria, Duchess Of Jülich-Cleves-Berg's husband's birthday?",28 July 1516,date,Original,e9c2a7fa0bdb11eba7f7acde48001122_3
What is the date 10 years before the date of death of Catherine Of Guelders's father?,1463-02-23,date,"Commonsense, Arithmetic",c1b9c0ac0bdd11eba7f7acde48001122_3
What is the date of death of Catherine Of Guelders's father?,23 February 1473,date,Original,c1b9c0ac0bdd11eba7f7acde48001122_3
What is the date 4 years before the date of death of Princess Isabelle Of Orléans's father?,1936-08-25,date,"Commonsense, Arithmetic",4f84536c0bdd11eba7f7acde48001122_3
What is the date of death of Princess Isabelle Of Orléans's father?,25 August 1940,date,Original,4f84536c0bdd11eba7f7acde48001122_3
"What is the concatenation of the last letter of the first name and the first letter of the last name of the paternal grandmother of Mervyn Tuchet, 4Th Earl Of Castlehaven in lowercase?",ym,string,"Symbolic, Commonsense",fc0370920baf11ebab90acde48001122_14
"Who is the paternal grandmother of Mervyn Tuchet, 4Th Earl Of Castlehaven?",Lucy Mervyn,person,Original,fc0370920baf11ebab90acde48001122_14
"What is the concatenation of the last letter of the first name and the first letter of the last name of James Tuchet, 5Th Earl Of Castlehaven's paternal grandmother in lowercase?",hb,string,"Symbolic, Commonsense",562b581a0baf11ebab90acde48001122_14
"Who is James Tuchet, 5Th Earl Of Castlehaven's paternal grandmother?",Elizabeth Barnham,person,Original,562b581a0baf11ebab90acde48001122_14
What is the concatenation of the last letter of the first name and the first letter of the last name of Philip Of Ibelin (1180–1227)'s maternal grandmother in lowercase?,at,string,"Symbolic, Commonsense",89585fde0bb011ebab90acde48001122_14
Who is Philip Of Ibelin (1180–1227)'s maternal grandmother?,Maria Taronitissa,person,Original,89585fde0bb011ebab90acde48001122_14
What is the concatenation of the last letter of the first name and the first letter of the last name of the mother of the director of film Brenda Brave in lowercase?,il,string,"Symbolic, Commonsense",9e506db00bdc11eba7f7acde48001122_14
Who is the mother of the director of the film Brenda Brave?,Käbi Laretei,person,Original,9e506db00bdc11eba7f7acde48001122_14
What is the closest palindrome number to the year of Susanne Porsche's husband's birthday?,1991,number,"Commonsense, Arithmetic",e6ee7ed80bda11eba7f7acde48001122_7
When is Susanne Porsche's husband's birthday?,10 May 1943,date,Original,e6ee7ed80bda11eba7f7acde48001122_7
What is the closest palindrome number to the year of when Princess Maria Anna Of Saxony's husband was born?,1771,number,"Commonsense, Arithmetic",a42210100bda11eba7f7acde48001122_7
When was Princess Maria Anna Of Saxony's husband born?,3 October 1797,date,Original,a42210100bda11eba7f7acde48001122_7
What is the closest palindrome number to the year of the date of death of Carlo I Cybo-Malaspina's father?,1551,number,"Commonsense, Arithmetic",1a0c2a800bdc11eba7f7acde48001122_7
What is the date of death of Carlo I Cybo-Malaspina's father?,16 November 1606,date,Original,1a0c2a800bdc11eba7f7acde48001122_7
"What is the closest palindrome number to the year of when Philipp, Duke Of Saxe-Merseburg-Lauchstädt's father died?",1661,number,"Commonsense, Arithmetic",56b66a2c0bdc11eba7f7acde48001122_7
How many more vowels than consonants are there in the first name of the father of the composer of film Durval Discos?,1,number,"Commonsense, Arithmetic",7c5768260bdc11eba7f7acde48001122_3
How many more vowels than consonants are there in the first name of the mother of the director of film Cop Or Hood?,1,number,"Commonsense, Arithmetic",6f1c59360bdd11eba7f7acde48001122_3
Who is the mother of the director of the film Cop Or Hood?,Renée Saint-Cyr,person,Original,6f1c59360bdd11eba7f7acde48001122_3
How many more vowels than consonants are there in the first name of the stepmother of Sara Ali Khan?,1,number,"Commonsense, Arithmetic",29bf69d20bb011ebab90acde48001122_3
"How many more vowels than consonants are there in the first name of Edward Wingfield, 2Nd Viscount Powerscourt's paternal grandmother?",1,number,"Commonsense, Arithmetic",78c31f420bb011ebab90acde48001122_3
"Who is Edward Wingfield, 2Nd Viscount Powerscourt's paternal grandmother?",Eleanor Gore,person,Original,78c31f420bb011ebab90acde48001122_3
What is the date 2 months after the director of film War Italian Style 's birthday?,1927-07-17,date,"Commonsense, Arithmetic",6590ada60bdb11eba7f7acde48001122_1
When is the director of film War Italian Style 's birthday?,17 May 1927,date,Original,6590ada60bdb11eba7f7acde48001122_1
What is the date 4 months after Anthony William Fairbank Edwards's father's birthday?,1899-12-15,date,"Commonsense, Arithmetic",1876fc160bde11eba7f7acde48001122_1
When is Anthony William Fairbank Edwards's father's birthday?,15 August 1899,date,Original,1876fc160bde11eba7f7acde48001122_1
What is the date 4 months after when Eduardo Frei Ruiz-Tagle's father died?,1982-05-22,date,"Commonsense, Arithmetic",4aa323fa0bdd11eba7f7acde48001122_1
When did Eduardo Frei Ruiz-Tagle's father die?,"January 22, 1982",date,Original,4aa323fa0bdd11eba7f7acde48001122_1
"What is the date 8 months after when John Tufton, 2Nd Baron Hothfield's father died?",1927-06-29,date,"Commonsense, Arithmetic",db96156a0bd911eba7f7acde48001122_1
"When did John Tufton, 2Nd Baron Hothfield's father die?",29 October 1926,date,Original,db96156a0bd911eba7f7acde48001122_1
How many hours are there between the winter time zone of where Tala Mi Thiri's father died and UTC?,6.5,number,"Commonsense, Arithmetic",4618f4f60bdb11eba7f7acde48001122_0
Where did Tala Mi Thiri's father die?,Pegu,place,Original,4618f4f60bdb11eba7f7acde48001122_0
How many hours are there between the winter time zone of where the father of Ștefan I. Nenițescu was born and UTC?,2.0,number,"Commonsense, Arithmetic",019bed300bde11eba7f7acde48001122_0
"How many hours are there between the winter time zone of where Hugh I, Duke Of Burgundy's father died and UTC?",1.0,number,"Commonsense, Arithmetic",d19a4bb80bdd11eba7f7acde48001122_0
"Where did Hugh I, Duke Of Burgundy's father die?",France,place,Original,d19a4bb80bdd11eba7f7acde48001122_0
How many hours are there between the winter time zone of the country of citizenship of the director of film Roses From The South (1954 Film) and UTC?,1.0,number,"Commonsense, Arithmetic",d74554220bdd11eba7f7acde48001122_0
What nationality is the director of film Roses From The South (1954 Film)?,Austria,place,Original,d74554220bdd11eba7f7acde48001122_0
What is the day of the date of death of the composer of film Oomana Thinkal?,9,number,Commonsense,cceeda8a0bdc11eba7f7acde48001122_8
What is the date of death of the composer of film Oomana Thinkal?,9 March 1988,date,Original,cceeda8a0bdc11eba7f7acde48001122_8
"What is the day of when John Cecil, 6Th Earl Of Exeter's father died?",29,number,Commonsense,d95bfd1a0bdd11eba7f7acde48001122_8
"When did John Cecil, 6Th Earl Of Exeter's father die?",29 August 1700,date,Original,d95bfd1a0bdd11eba7f7acde48001122_8
"What is the day of when Humphrey De Bohun, 2Nd Earl Of Hereford's father died?",1,number,Commonsense,fab2aa100bdb11eba7f7acde48001122_8
What is the day of when Ludwig Gruno Of Hesse-Homburg's father was born?,19,number,Commonsense,be0f8b4e0bdd11eba7f7acde48001122_8
When was Ludwig Gruno Of Hesse-Homburg's father born?,19 May 1673,date,Original,be0f8b4e0bdd11eba7f7acde48001122_8
What is the concatenation of the first letter of the first name and the last letter of the last name of the paternal grandfather of Hōjō Akitoki in lowercase?,hu,string,"Symbolic, Commonsense",233a58480baf11ebab90acde48001122_14
Who is the paternal grandfather of Hōjō Akitoki?,Hōjō Saneyasu,person,Original,233a58480baf11ebab90acde48001122_14
What is the concatenation of the first letter of the first name and the last letter of the last name of the father of the director of film The Cup (1999 Film) in lowercase?,tu,string,"Symbolic, Commonsense",68dd6b9a0bd911eba7f7acde48001122_14
Who is the father of the director of the film The Cup (1999 Film)?,Thinley Norbu,person,Original,68dd6b9a0bd911eba7f7acde48001122_14
What is the concatenation of the first letter of the first name and the last letter of the last name of the maternal grandmother of Dakota Johnson in lowercase?,tn,string,"Symbolic, Commonsense",5d41911e0baf11ebab90acde48001122_14
Who is the maternal grandmother of Dakota Johnson?,Tippi Hedren,person,Original,5d41911e0baf11ebab90acde48001122_14
"What is the concatenation of the first letter of the first name and the last letter of the last name of the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram in lowercase?",lr,string,"Symbolic, Commonsense",3705552a0bb011ebab90acde48001122_14
What is the concatenation of the last letters of the first name and last name of Abaqa Khan's paternal grandmother in lowercase?,ii,string,"Symbolic, Commonsense",ee94ad900baf11ebab90acde48001122_14
Who is Abaqa Khan's paternal grandmother?,Sorghaghtani Beki,person,Original,ee94ad900baf11ebab90acde48001122_14
"What is the concatenation of the last letters of the first name and last name of Hugh Cholmondeley, 1St Earl Of Cholmondeley's paternal grandmother in lowercase?",ye,string,"Symbolic, Commonsense",772cba800bb011ebab90acde48001122_14
What is the concatenation of the last letters of the first name and last name of the spouse of the director of film På Solsiden in lowercase?,or,string,"Symbolic, Commonsense",1bfdd2d20bda11eba7f7acde48001122_14
What is the concatenation of the last letters of the first name and last name of the mother of the director of film Mercy (2000 Film) in lowercase?,hs,string,"Symbolic, Commonsense",1223ff320bdc11eba7f7acde48001122_14
Who is the mother of the director of Mercy (2000 Film)?,Elizabeth Rees-Williams,person,Original,1223ff320bdc11eba7f7acde48001122_14
"How many syllables are there in the first name of Mary Tudor, Queen Of France's maternal grandmother?",4,number,"Commonsense, Arithmetic",bedf588e0baf11ebab90acde48001122_1
How many syllables are there in the first name of Joseph-André Taschereau's paternal grandfather?,4,number,"Commonsense, Arithmetic",10cd47420baf11ebab90acde48001122_1
How many syllables are there in the first name of the father of the director of film American Woman (2018 Film)?,2,number,"Commonsense, Arithmetic",87289e460bdc11eba7f7acde48001122_1
Who is the father of the director of the film American Woman (2018 Film)?,Ridley Scott,person,Original,87289e460bdc11eba7f7acde48001122_1
How many syllables are there in the first name of Edsel Ford Ii's paternal grandfather?,2,number,"Commonsense, Arithmetic",7f3cf1aa0baf11ebab90acde48001122_1
What is the result of adding 5 to the reverse of when the publisher of Eye To The Telescope (Magazine) was founded?,8796,number,"Symbolic, Arithmetic",2909f2240bdc11eba7f7acde48001122_7
What is the result of adding 6 to the reverse of when the publisher of Bellingham Review was founded?,3987,number,"Symbolic, Arithmetic",0f35d6f40bde11eba7f7acde48001122_7
What is the result of adding 7 to the reverse of when the publisher of The Miscellany News was founded?,1688,number,"Symbolic, Arithmetic",f48667b80bda11eba7f7acde48001122_7
What year was the publisher of The Miscellany News founded?,1861,year,Original,f48667b80bda11eba7f7acde48001122_7
What is the result of adding 6 to the reverse of when the publisher of Africa Renewal was founded?,5497,number,"Symbolic, Arithmetic",b536dc7a0bdd11eba7f7acde48001122_7
How many distinct two-letter combinations exist in the first name of Viacheslav I Of Kiev's maternal grandfather?,15,number,"Commonsense, Arithmetic",b01b7cc40baf11ebab90acde48001122_2
How many distinct two-letter combinations exist in the first name of Joseph-André Taschereau's paternal grandfather?,40,number,"Commonsense, Arithmetic",10cd47420baf11ebab90acde48001122_2
How many distinct two-letter combinations exist in the first name of the maternal grandmother of Dakota Johnson?,5,number,"Commonsense, Arithmetic",5d41911e0baf11ebab90acde48001122_2
How many distinct two-letter combinations exist in the first name of Edsel Ford Ii's paternal grandfather?,7,number,"Commonsense, Arithmetic",7f3cf1aa0baf11ebab90acde48001122_2
What is the date one day after the founder of Suez Canal Company 's birthday?,1805-11-20,date,"Commonsense, Arithmetic",0bc8838a0bda11eba7f7acde48001122_0
When is the founder of Suez Canal Company 's birthday?,19 November 1805,date,Original,0bc8838a0bda11eba7f7acde48001122_0
What is the date one day after when Prince Nikolai Of Denmark's mother was born?,1964-07-01,date,"Commonsense, Arithmetic",be1e5c620bda11eba7f7acde48001122_0
What is the date one day after the date of birth of Mary Of Teck's father?,1837-08-29,date,"Commonsense, Arithmetic",31c655140bdd11eba7f7acde48001122_0
What is the date of birth of Mary Of Teck's father?,28 August 1837,date,Original,31c655140bdd11eba7f7acde48001122_0
"What is the date one day after the date of birth of Louis I, Count Of Nassau-Weilburg's father?",1441-06-28,date,"Commonsense, Arithmetic",164376040bde11eba7f7acde48001122_0
"What is the date of birth of Louis I, Count Of Nassau-Weilburg's father?",27 June 1441,date,Original,164376040bde11eba7f7acde48001122_0
What is the date 7 weeks before the date of birth of Stephanie Von Hohenlohe's husband?,1878-12-28,date,"Commonsense, Arithmetic",15decb900bda11eba7f7acde48001122_3
What is the date of birth of Stephanie Von Hohenlohe's husband?,15 February 1879,date,Original,15decb900bda11eba7f7acde48001122_3
"What is the date 5 weeks before when John Annesley, 4Th Earl Of Anglesey's father died?",1690-02-25,date,"Commonsense, Arithmetic",75990ae60bda11eba7f7acde48001122_3
"When did John Annesley, 4Th Earl Of Anglesey's father die?",1 April 1690,date,Original,75990ae60bda11eba7f7acde48001122_3
What is the date 4 weeks before Margarete Weißkirchner's husband's birthday?,1449-08-23,date,"Commonsense, Arithmetic",727f50cc0bda11eba7f7acde48001122_3
When is Margarete Weißkirchner's husband's birthday?,20 September 1449,date,Original,727f50cc0bda11eba7f7acde48001122_3
"What is the date 2 weeks before Napier Sturt, 3Rd Baron Alington's father's birthday?",1859-08-06,date,"Commonsense, Arithmetic",965e667e0bdd11eba7f7acde48001122_3
"When is Napier Sturt, 3Rd Baron Alington's father's birthday?",20 August 1859,date,Original,965e667e0bdd11eba7f7acde48001122_3
"How many times does the letter ""l"" appear in the last name of the spouse of the director of film Sorority House (Film)?",2,number,"Commonsense, Arithmetic",9e9c5b440bdc11eba7f7acde48001122_16
"How many times does the letter ""s"" appear in the last name of the mother of the director of film La Cage Aux Folles 3: The Wedding?",1,number,"Commonsense, Arithmetic",571c28120bdc11eba7f7acde48001122_16
Who is the mother of the director of film La Cage Aux Folles 3: The Wedding?,Renée Saint-Cyr,person,Original,571c28120bdc11eba7f7acde48001122_16
"How many times does the letter ""u"" appear in the last name of Mehmed I's paternal grandmother?",1,number,"Commonsense, Arithmetic",b0165ea60baf11ebab90acde48001122_16
Who is Mehmed I's paternal grandmother?,Gülçiçek Hatun,person,Original,b0165ea60baf11ebab90acde48001122_16
"How many times does the letter ""r"" appear in the last name of the spouse of the director of film På Solsiden?",2,number,"Commonsense, Arithmetic",1bfdd2d20bda11eba7f7acde48001122_16
"What is the date one week after Thomas Ashton, 3Rd Baron Ashton Of Hyde's father's birthday?",1901-10-09,date,"Commonsense, Arithmetic",2fe34c7e0bde11eba7f7acde48001122_0
"What is the birth date of the father of Thomas Ashton, 3rd Baron Ashton of Hyde?",2 October 1901,date,Original,2fe34c7e0bde11eba7f7acde48001122_0
What is the date one week after the date of birth of Rudolph De Trafford's father?,1862-07-10,date,"Commonsense, Arithmetic",31d4cbe80bde11eba7f7acde48001122_0
What is the date of birth of Rudolph De Trafford's father?,3 July 1862,date,Original,31d4cbe80bde11eba7f7acde48001122_0
What is the date one week after when Mirza Farkhunda Shah's father died?,1862-11-14,date,"Commonsense, Arithmetic",78045f580bdd11eba7f7acde48001122_0
When did Mirza Farkhunda Shah's father die?,7 November 1862,date,Original,78045f580bdd11eba7f7acde48001122_0
"What is the date one week after when Camillo Ruspoli, Duke Of Sueca's father died?",1829-03-15,date,"Commonsense, Arithmetic",64d94bc80bdd11eba7f7acde48001122_0
"When did Camillo Ruspoli, Duke Of Sueca's father die?","March 8, 1829",date,Original,64d94bc80bdd11eba7f7acde48001122_0
"How many times does the letter ""j"" appear in the first name of Sun Luyu's paternal grandfather?",0,number,"Commonsense, Arithmetic",6571cca00baf11ebab90acde48001122_16
Who is Sun Luyu's paternal grandfather?,Sun Jian,person,Original,6571cca00baf11ebab90acde48001122_16
"How many times does the letter ""e"" appear in the first name of Edward Wingfield, 2Nd Viscount Powerscourt's paternal grandmother?",2,number,"Commonsense, Arithmetic",78c31f420bb011ebab90acde48001122_16
"How many times does the letter ""t"" appear in the first name of the father of the director of film The Cup (1999 Film)?",1,number,"Commonsense, Arithmetic",68dd6b9a0bd911eba7f7acde48001122_16
"How many times does the letter ""r"" appear in the first name of the paternal grandfather of Ferdinand Maximilian, Hereditary Prince Of Baden-Baden?",1,number,"Commonsense, Arithmetic",0e6f6aa60bb011ebab90acde48001122_16
What is the date 4 days before the date of death of the director of film Never Fear?,1995-07-30,date,"Commonsense, Arithmetic",47f733600bda11eba7f7acde48001122_3
What is the date of death of the director of the film Never Fear?,3 August 1995,date,Original,47f733600bda11eba7f7acde48001122_3
What is the date 6 days before when Bill Patterson (Racing Driver)'s father died?,1967-06-07,date,"Commonsense, Arithmetic",e41f805c0bdb11eba7f7acde48001122_3
What is the date 6 days before when Cosima Von Bülow Pavoncelli's father died?,2019-05-19,date,"Commonsense, Arithmetic",32d8b8ce0bde11eba7f7acde48001122_3
When did Cosima Von Bülow Pavoncelli's father die?,25 May 2019,date,Original,32d8b8ce0bde11eba7f7acde48001122_3
What is the date 2 days before when John Hodgetts-Foley's father was born?,1747-03-14,date,"Commonsense, Arithmetic",e2f18f160bdd11eba7f7acde48001122_3
When was John Hodgetts-Foley's father born?,16 March 1747,date,Original,e2f18f160bdd11eba7f7acde48001122_3
How many consonants are there in the first name of the father of the director of film The Cup (1999 Film)?,5,number,"Commonsense, Arithmetic",68dd6b9a0bd911eba7f7acde48001122_15
How many consonants are there in the first name of Viacheslav I Of Kiev's maternal grandfather?,4,number,"Commonsense, Arithmetic",b01b7cc40baf11ebab90acde48001122_15
How many consonants are there in the first name of the paternal grandfather of Hōjō Akitoki?,2,number,"Commonsense, Arithmetic",233a58480baf11ebab90acde48001122_15
How many consonants are there in the first name of the mother of the director of film Cop Or Hood?,2,number,"Commonsense, Arithmetic",6f1c59360bdd11eba7f7acde48001122_15
How many additional letters does the first name of the paternal grandfather of Ahmose-Henutemipet have compared to the last name of Alex Tucker?,5,number,"Commonsense, Arithmetic",bc702d440baf11ebab90acde48001122_10
How many additional letters does the first name of Alexandra Boyle have compared to the last name of the spouse of the director of film Fire-Eater (Film)?,3,number,"Commonsense, Arithmetic",21852d1e0bde11eba7f7acde48001122_10
How many additional letters does the first name of Colleen Silva have compared to the last name of the father of the director of film The Cup (1999 Film)?,2,number,"Commonsense, Arithmetic",68dd6b9a0bd911eba7f7acde48001122_10
"How many additional letters does the first name of Charles Monck, 3Rd Viscount Monck's paternal grandfather have compared to the last name of Alexis Hull?",2,number,"Commonsense, Arithmetic",eb54b8e60baf11ebab90acde48001122_10
"What is the alphabetical order of the letters in the last name of the paternal grandmother of Mervyn Tuchet, 4Th Earl Of Castlehaven?",emnrvy,string,"Symbolic, Commonsense",fc0370920baf11ebab90acde48001122_7
What is the alphabetical order of the letters in the last name of Alfonso Jordan's maternal grandmother?,mouzñ,string,"Symbolic, Commonsense",9e1457800baf11ebab90acde48001122_7
What is the alphabetical order of the letters in the last name of the spouse of the director of film Manamagan Thevai?,aaahikmnrrs,string,"Symbolic, Commonsense",d301fe960bd911eba7f7acde48001122_7
Who is the spouse of the director of the film Manamagan Thevai?,Bhanumathi Ramakrishna,person,Original,d301fe960bd911eba7f7acde48001122_7
What is the alphabetical order of the letters in the last name of Abaqa Khan's paternal grandmother?,beik,string,"Symbolic, Commonsense",ee94ad900baf11ebab90acde48001122_7
What is the difference between when the publisher of The Rip Off Review Of Western Culture was founded and the year 2024?,55,number,Arithmetic,39bd87c80bde11eba7f7acde48001122_2
What is the difference between when the publisher of Bellingham Review was founded and the year 2024?,131,number,Arithmetic,0f35d6f40bde11eba7f7acde48001122_2
